,NAME10,churn9714,churn0012,totemp1997,totemp2000,totemp12,totemp14,totemp9714,totemp0012,growjob,growhov,growinc,x_centr,y_centr
1,Adelanto,0.569879512,0.596360939,132,6,702,695,696,696,NA,NA,NA,-117.4410706,34.58681707
2,Agoura Hills,0.378658789,0.38402394,2932,3075,4403,4085,1328,1328,-5.85E-06,-2.47E-05,1.31E-05,-118.7608815,34.15100303
3,Alhambra,0.335810287,0.352393558,22008,19769,31244,25239,11475,11475,1.28E-06,-7.71E-07,4.28E-06,-118.1355141,34.08397346
4,Aliso Viejo,0.603258929,0.535001626,844,4414,8271,8693,3857,3857,NA,NA,NA,-117.7299521,33.57793525
5,Alpine,0.315275364,0.330856385,1681,1732,1953,2149,221,221,6.18E-05,3.28E-05,0.000114195,-116.7585206,32.84387352
6,Altadena,0.33584016,0.365895906,3800,3495,4670,4336,1175,1175,-3.52E-06,-1.71E-05,5.88E-07,-118.135545,34.19341243
7,Anaheim,0.359842673,0.370310169,85077,78195,101344,131194.5,23149,23149,2.78E-08,-6.60E-07,4.08E-07,-117.8576135,33.8389077
8,Apple Valley,0.410206247,0.40516282,3872,4562,7728,8564,3166,3166,4.11E-05,3.50E-05,3.19E-05,-117.2110127,34.53159849
9,Arcadia,0.333686482,0.355513686,21438,18550,25851.5,27729.5,7301.5,7301.5,1.22E-07,8.53E-07,6.39E-06,-118.0373065,34.1341922
10,Artesia,0.394412743,0.400937128,11941,7470,4717,5936,-2753,-2753,5.55E-06,1.54E-05,-1.24E-05,-118.0806355,33.86759291
11,Azusa,0.309419725,0.327945133,9959,9548,10112.5,10492,564.5,564.5,-3.14E-06,-5.10E-06,3.22E-06,-117.9124004,34.1385818
12,Baldwin Park,0.305566795,0.325744361,12010,12441,14579,16097,2138,2138,-3.54E-06,9.16E-07,1.33E-05,-117.9721009,34.08287152
13,Banning,0.278300021,0.304014504,2419,2438,4094,4259,1656,1656,-5.87E-06,4.39E-05,3.40E-05,-116.8992448,33.94603951
14,Barstow,0.285362106,0.304019231,2383,2577,3090,4245,513,513,7.43E-05,5.75E-05,4.67E-05,-117.0464034,34.8655082
15,Beaumont,0.296715523,0.314342447,2291,3042,3567,4043,525,525,-6.98E-06,3.20E-05,1.45E-05,-116.9759694,33.90511553
16,Bell,0.304341298,0.329568658,4273,3959,3978,4260,19,19,-4.28E-06,-1.47E-07,2.26E-05,-118.1797375,33.98007356
17,Bell Gardens,0.290196105,0.298048275,10237,8473,8857,8742,384,384,5.69E-06,5.14E-07,-7.45E-06,-118.155013,33.96633174
18,Bellflower,0.320797541,0.327338759,13810,12141,14313,16746,2172,2172,3.79E-06,2.43E-06,-4.36E-06,-118.1271002,33.88804179
19,Bermuda Dunes,0.381776323,0.379867474,796,777,1191,1350,414,414,0.00015404,0.000132054,3.81E-05,-116.2873324,33.74350032
20,Beverly Hills,0.379213486,0.40057109,51412,48869,67527.5,69274,18658.5,18658.5,-3.82E-07,1.11E-06,-7.30E-07,-118.4021134,34.07856064
21,Big Bear City,0.3692919,0.32466462,1037,985,944,1216,-41,-41,0.000174818,7.55E-05,-9.14E-06,-116.7903103,34.25356499
22,Big Bear Lake,0.342483409,0.293843201,2264,5866,2923,3105.5,-2943,-2943,3.08E-05,1.11E-05,-3.06E-06,-116.8958337,34.24292592
23,Blythe,0.316425375,0.280919105,1637,1617,1473,1456,-144,-144,0.000118749,9.54E-05,0.000141933,-114.617645,33.62190315
24,Brea,0.342175029,0.340063185,13993,16870,19768,21869.5,2898,2898,1.15E-06,3.53E-07,1.27E-06,-117.8660759,33.92524709
25,Buena Park,0.353229643,0.368763057,20663,23220,21322,22536,-1898,-1898,5.07E-07,6.57E-06,1.90E-06,-118.0045176,33.85721267
26,Burbank,0.344703493,0.356262722,71258,70468,94154,101722,23686,23686,-1.10E-07,-5.50E-07,7.63E-07,-118.323429,34.18797997
27,Calexico,0.296013944,0.31576309,4058,3840,3437,3574,-403,-403,4.37E-05,2.54E-05,5.96E-05,-115.4945783,32.68432119
28,Calimesa,0.327315525,0.353197859,1064,1128,1456,1601,328,328,3.08E-05,7.04E-05,-1.41E-05,-117.054201,33.98732953
29,Camarillo,0.345115137,0.351273806,17262,21030,24401.5,23722,3371.5,3371.5,8.09E-07,-3.22E-06,1.13E-06,-119.0325981,34.22303658
30,Canyon Lake,0.454896185,0.458096779,84,139,116,123,-23,-23,NA,NA,NA,-117.2620107,33.68837074
31,Carlsbad,0.398291428,0.403000817,27624,29015,45524.5,49074.5,16509.5,16509.5,6.65E-06,2.03E-06,8.35E-07,-117.2835458,33.12455807
32,Carson,0.349168699,0.352890751,30670,31983,35754.5,38838,3771.5,3771.5,2.45E-06,1.51E-06,1.58E-06,-118.2559364,33.83740831
33,Casa de Oro-Mount Helix,0.336166649,0.374098378,1079,878,1309,1240,431,431,9.47E-05,5.27E-05,0.000241045,-116.9687953,32.76396974
34,Cathedral City,0.392000921,0.41571561,2636,3580,3355,3497,-225,-225,3.32E-05,2.85E-05,6.52E-06,-116.4661574,33.83628084
35,Cerritos,0.421458314,0.43837524,35124,22670,32922.5,35078,10252.5,10252.5,1.72E-06,6.39E-06,-3.72E-06,-118.0686012,33.86773864
36,Chino,0.369989275,0.373356065,22813,21274,25818.5,25973.5,4544.5,4544.5,1.74E-06,-1.33E-07,1.85E-06,-117.6652966,33.98358813
37,Chino Hills,0.474734961,0.476493673,1846,2315,5083,5476,2768,2768,NA,NA,NA,-117.725327,33.95077455
38,Chula Vista,0.352861991,0.384584496,29121,28470,34320.5,36347,5850.5,5850.5,1.12E-06,6.77E-07,4.46E-06,-117.0101332,32.6282507
39,Claremont,0.33485974,0.343490797,12666,14871,17517,15765,2646,2646,9.01E-07,2.55E-08,-7.41E-07,-117.7153083,34.12585774
40,Coachella,0.320528888,0.333382984,2726,3551,3144.5,2916.5,-406.5,-406.5,3.57E-05,3.01E-05,1.15E-05,-116.145093,33.69102002
41,Colton,0.362596987,0.381276476,7496,8303,9121.5,19569,818.5,818.5,-1.15E-06,4.07E-06,-7.21E-06,-117.3253717,34.05374661
42,Commerce,0.329682427,0.35543176,27108,32161,28518,29431,-3643,-3643,1.23E-06,-1.53E-07,-5.81E-07,-118.1519032,33.99630018
43,Compton,0.32871001,0.351908873,12844,15054,16302,16434,1248,1248,8.70E-07,1.89E-07,5.64E-06,-118.2275066,33.8929657
44,Corona,0.42115422,0.45531594,17213,22112,32551.5,37323.5,10439.5,10439.5,2.27E-06,-3.49E-06,-2.63E-06,-117.5642245,33.86235719
45,Coronado,0.33872652,0.360096318,1122,1139,1372,1478,233,233,NA,NA,NA,-117.1748372,32.67212343
46,Costa Mesa,0.366459888,0.372603232,54094,56310,67349.5,67101,11039.5,11039.5,-7.76E-07,1.34E-06,1.65E-06,-117.9135048,33.66676513
47,Coto de Caza,0.621537589,0.580606494,157,200,437,399,237,237,NA,NA,NA,-117.5865572,33.59669882
48,Covina,0.330158583,0.358108365,3265,2736,3559,3912,823,823,-1.50E-06,-3.23E-05,-1.87E-05,-117.8817916,34.09030423
49,Cudahy,0.282722565,0.309719673,3228,2872,2976,3031,104,104,4.17E-06,2.41E-06,1.65E-05,-118.1830817,33.9631121
50,Culver City,0.347382223,0.353631274,27230,24482,32625.5,36374,8143.5,8143.5,3.31E-06,-7.34E-07,-4.34E-06,-118.3968285,34.00578615
51,Cypress,0.323695877,0.325512498,6807,10304,7532,8809,-2772,-2772,5.97E-06,2.13E-05,3.96E-06,-118.0385708,33.81706899
52,Dana Point,0.428693,0.413141816,1163,1302,1709,2155,407,407,6.09E-05,-7.85E-05,-5.16E-05,-117.6962432,33.47346625
53,Desert Edge,0.184621809,0.210966755,186,191,74,71,-117,-117,NA,NA,NA,-116.4400928,33.92228877
54,Desert Hot Springs,0.312053204,0.341678502,614,524,556,550,32,32,0.000240837,0.000194671,7.01E-05,-116.5503699,33.96697885
55,Diamond Bar,0.407840806,0.415852796,6569,7315,8887,9951,1572,1572,5.76E-06,-8.62E-06,-6.81E-06,-117.816085,33.99917794
56,Downey,0.34602353,0.346257561,34550,38836,46911.5,47418.5,8075.5,8075.5,1.38E-06,6.94E-08,-2.31E-06,-118.1311501,33.93786725
57,Duarte,0.31290949,0.324705973,7975,7345,10081,10452,2736,2736,-5.46E-06,3.40E-06,2.13E-05,-117.9505222,34.16091532
58,East Hemet,0.318006396,0.345486172,528,544,930,861,386,386,NA,NA,NA,-116.9410437,33.73012494
59,East La Mirada,0.313599499,0.363398171,282,261,175,241,-86,-86,NA,NA,NA,-117.9887264,33.92437326
60,East Los Angeles,0.303341145,0.333052158,17970,19517,20382,23582,865,865,1.18E-06,-2.47E-06,3.38E-06,-118.1691409,34.03262468
61,East San Gabriel,0.357735694,0.383676638,634,565,799,784,234,234,NA,NA,NA,-118.0806594,34.11983776
62,Eastvale,0.728156194,0.823657321,116,83,929,1090,846,846,NA,NA,NA,-117.5790688,33.96282771
63,El Cajon,0.322460419,0.338786908,12899,13697,14596,16593,899,899,5.80E-06,3.58E-06,1.66E-05,-116.9604836,32.80165819
64,El Centro,0.319270634,0.335895819,14133,15814,17347,18084,1533,1533,1.07E-05,6.63E-06,1.32E-05,-115.5579392,32.78709956
65,El Monte,0.305960953,0.32815672,19406,18670,17167.5,16965.5,-1502.5,-1502.5,-6.08E-07,7.59E-07,1.64E-05,-118.029072,34.07391966
66,El Segundo,0.371921434,0.372325074,36052,31980,41327,42539,9347,9347,-1.06E-06,-2.55E-06,-3.15E-06,-118.4020223,33.91694661
67,Encinitas,0.359767269,0.359543721,12610,11403,15340,16058,3937,3937,1.62E-05,2.72E-06,2.43E-06,-117.2612324,33.04920464
68,Escondido,0.318720048,0.342922437,21969,21182,31492,30151.5,10310,10310,6.49E-06,5.09E-06,4.15E-06,-117.0721226,33.13469537
69,Fallbrook,0.323366589,0.332143883,6074,6197,6842,6526,645,645,2.54E-05,-2.24E-06,-1.28E-05,-117.2258641,33.36926716
70,Florence-Graham,0.367489201,0.388071783,7220,6780,6483,7338,-297,-297,-1.77E-05,4.67E-07,2.12E-05,-118.244386,33.96772104
71,Fontana,0.350179754,0.370060229,11705,14130,15546,17271,1416,1416,4.48E-07,6.77E-06,3.33E-06,-117.4592413,34.09742278
72,Fountain Valley,0.32456999,0.33379538,12903,11415,12934.5,12831.5,1519.5,1519.5,1.86E-06,3.22E-06,8.11E-06,-117.9514087,33.71044959
73,French Valley,0.546053323,0.665260926,104,144,710,733,566,566,NA,NA,NA,-117.1069756,33.59984826
74,Fullerton,0.331488267,0.341893093,41802,48356,34945,45204,-13411,-13411,2.09E-09,-6.20E-07,7.85E-07,-117.9278509,33.88403781
75,Garden Grove,0.351174542,0.363273722,21976,21527,25416,27345,3889,3889,2.17E-06,1.21E-08,4.64E-06,-117.9601111,33.77869405
76,Gardena,0.315527814,0.321454222,13552,15322,16468,15835,1146,1146,-1.82E-06,5.59E-06,-1.10E-06,-118.3072398,33.89433808
77,Glen Avon,0.322706424,0.328321706,4809,4507,6690.5,6584.5,2183.5,2183.5,4.95E-06,2.27E-05,2.99E-05,-117.4852035,34.01680369
78,Glendale,0.34453123,0.35116623,82368,84053,116277,123493.5,32224,32224,2.58E-07,-1.03E-07,1.26E-06,-118.2467667,34.18188937
79,Glendora,0.32936796,0.351980758,11418,11130,12867.5,13685.5,1737.5,1737.5,1.48E-06,-9.08E-06,-9.47E-06,-117.8465452,34.1449422
80,Hacienda Heights,0.357499912,0.379090602,3169,2594,3278,3508,684,684,-2.29E-06,-3.21E-07,6.59E-05,-117.9728161,33.996973
81,Hawaiian Gardens,0.309104605,0.310526609,1062,901,854,971,-47,-47,NA,NA,NA,-118.0728826,33.83032821
82,Hawthorne,0.350649971,0.356031632,20112,18510,13328,13218.5,-5182,-5182,-1.46E-06,-3.18E-06,-8.31E-06,-118.3476677,33.9146677
83,Hemet,0.290407634,0.310407038,12300,12493,14569,15032,2076,2076,8.57E-06,7.79E-06,-1.74E-06,-116.994605,33.73522768
84,Hermosa Beach,0.327083835,0.333340581,3563,3310,4512,4486,1202,1202,-1.56E-05,1.27E-05,-9.35E-06,-118.396297,33.86526856
85,Hesperia,0.378436059,0.380481534,7058,6958,10296,10312,3338,3338,2.58E-05,2.39E-05,1.80E-05,-117.3143922,34.39734769
86,Highland,0.432621211,0.425402999,70,132,322,341,190,190,NA,NA,NA,-117.1652611,34.11130069
87,Home Gardens,0.359918127,0.395347927,440,456,463,474,7,7,NA,NA,NA,-117.5114022,33.87823909
88,Huntington Beach,0.338630519,0.354009752,36932,34215,44198,48044.5,9983,9983,2.05E-06,4.28E-07,2.31E-06,-118.0017503,33.69560512
89,Huntington Park,0.34958132,0.382735616,15361,13970,13181,13608,-789,-789,-7.07E-06,-9.87E-07,9.63E-06,-118.2166671,33.97998117
90,Imperial Beach,0.342274881,0.358487017,941,812,1219,1257,407,407,NA,NA,NA,-117.1184429,32.56873395
91,Indio,0.349321913,0.370694193,9728,10440,17494,18832,7054,7054,1.18E-05,1.00E-05,3.46E-06,-116.2372581,33.72980677
92,Inglewood,0.361108508,0.36551575,37768,29180,28496.5,27893.5,-683.5,-683.5,1.74E-06,-2.75E-06,-6.69E-06,-118.3444449,33.95657481
93,Irvine,0.430421409,0.437171697,29931,29738,68083,89706.5,38345,38345,3.29E-06,-5.47E-07,6.32E-06,-117.7736333,33.67801089
94,Irwindale,0.358071546,0.382275612,14589,9787,15367,14843,5580,5580,-4.65E-06,1.63E-06,1.71E-05,-117.9637185,34.11211113
95,La Cañada Flintridge,0.298764046,0.310125364,4530,10040,5849.5,5953.5,-4190.5,-4190.5,2.07E-06,-8.99E-06,2.93E-06,-118.2001707,34.20968049
96,La Habra,0.326794767,0.340005335,10819,7578,8147,8427,569,569,1.05E-06,-3.25E-06,5.08E-06,-117.951258,33.92770106
97,La Mesa,0.313048867,0.335252351,22187,18243,25298,28539.5,7055,7055,3.74E-06,2.22E-06,1.29E-05,-117.0203717,32.77038792
98,La Mirada,0.361399842,0.385446396,15941,15906,16427.5,17363.5,521.5,521.5,3.01E-07,2.76E-06,-2.19E-06,-118.0092832,33.90246285
99,La Palma,0.361783124,0.375258493,4914,4361,4522,4650,161,161,8.36E-06,5.78E-05,-3.97E-06,-118.0406667,33.85035884
100,La Presa,0.328685565,0.354686589,2552,2433,3237,3075,804,804,NA,NA,NA,-117.0026984,32.71096408
101,La Puente,0.295127923,0.323041891,3266,3835,4055,3999,220,220,-6.86E-06,3.85E-06,4.57E-05,-117.9533664,34.032304
102,La Quinta,0.432273651,0.472439916,3176,2973,5012,4961.5,2039,2039,4.10E-05,3.57E-05,1.05E-05,-116.2784893,33.65373639
103,La Verne,0.359848693,0.377574071,5925,4909,7232,7296,2323,2323,7.79E-06,-5.40E-06,-2.73E-05,-117.7702714,34.12074138
104,Ladera Ranch,1.120543381,1.519848035,0,0,452,462,452,452,NA,NA,NA,-117.6415708,33.54960807
105,Laguna Hills,0.337095299,0.337066993,3901,3698,3785,4304,87,87,4.15E-05,-3.14E-05,2.01E-05,-117.6991266,33.59185323
106,Laguna Niguel,0.382651967,0.37471715,6573,5737,8900,10000,3163,3163,1.85E-05,-1.85E-05,-3.98E-06,-117.7049141,33.52748509
107,Laguna Woods,0.38727305,0.411393484,814,899,1023,1155,124,124,NA,NA,NA,-117.7280553,33.60913591
108,Lake Elsinore,0.349125421,0.381635821,4109,3854,7074,6955,3220,3220,4.09E-05,-1.65E-05,-4.57E-05,-117.3340963,33.68428134
109,Lake Forest,0.411163557,0.404580203,9984,14331,28422.5,30718,14091.5,14091.5,1.22E-05,-7.96E-06,1.06E-05,-117.6706834,33.6634129
110,Lakeside,0.327202662,0.345473155,326,248,503,507,255,255,NA,NA,NA,-116.9040009,32.85595997
111,Lakewood,0.3551877,0.36249387,16014,13138,20190.5,20143.5,7052.5,7052.5,6.02E-06,5.82E-08,-4.46E-06,-118.1222048,33.8470532
112,Lancaster,0.35802436,0.373237808,30266,35868,44002,45334,8134,8134,-1.43E-07,-4.43E-08,-6.76E-07,-118.1753064,34.6934347
113,Lawndale,0.336309841,0.350944309,3399,3356,4905,4511,1549,1549,-1.31E-05,1.00E-05,-2.01E-05,-118.3531377,33.88842273
